windspeed,cnt,Predicted Y
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
0.0,1,-83.11348308991754
