cnt,mnth,Predicted Y
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
1,1,4.687905463401462
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
2,1,4.697721019518931
