casual,workingday,Predicted Y
3,0,0.775548532133548
8,0,0.7613443169829094
5,0,0.7698668460732926
3,0,0.775548532133548
0,0,0.7840710612239312
0,0,0.7840710612239312
2,0,0.7783893751636758
1,0,0.7812302181938034
1,0,0.7812302181938034
8,0,0.7613443169829094
12,0,0.7499809448623985
26,0,0.7102091424406104
29,0,0.7016866133502272
47,0,0.6505514388079282
35,0,0.6846415551694609
40,0,0.6704373400188223
41,0,0.6675964969886945
15,0,0.7414584157720153
9,0,0.7585034739527817
6,0,0.7670260030431648
11,0,0.7528217878925263
3,0,0.775548532133548
11,0,0.7528217878925263
15,0,0.7414584157720153
4,0,0.7727076891034204
1,0,0.7812302181938034
1,0,0.7812302181938034
2,0,0.7783893751636758
2,0,0.7783893751636758
0,0,0.7840710612239312
0,0,0.7840710612239312
0,0,0.7840710612239312
1,0,0.7812302181938034
7,0,0.7641851600130372
16,0,0.7386175727418877
20,0,0.7272542006213767
11,0,0.7528217878925263
4,0,0.7727076891034204
19,0,0.7300950436515045
9,0,0.7585034739527817
7,0,0.7641851600130372
10,0,0.755662630922654
1,0,0.7812302181938034
5,0,0.7698668460732926
11,0,0.7528217878925263
0,0,0.7840710612239312
0,0,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
1,1,0.7812302181938034
1,1,0.7812302181938034
7,1,0.7641851600130372
11,1,0.7528217878925263
10,1,0.755662630922654
13,1,0.7471401018322708
8,1,0.7613443169829094
11,1,0.7528217878925263
14,1,0.7442992588021431
9,1,0.7585034739527817
11,1,0.7528217878925263
9,1,0.7585034739527817
8,1,0.7613443169829094
3,1,0.775548532133548
3,1,0.775548532133548
0,1,0.7840710612239312
1,1,0.7812302181938034
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
0,1,0.7840710612239312
2,1,0.7783893751636758
2,1,0.7783893751636758
2,1,0.7783893751636758
5,1,0.7698668460732926
7,1,0.7641851600130372
12,1,0.7499809448623985
18,1,0.7329358866816322
9,1,0.7585034739527817
17,1,0.7357767297117599
15,1,0.7414584157720153
10,1,0.755662630922654
3,1,0.775548532133548
2,1,0.7783893751636758
1,1,0.7812302181938034
0,1,0.7840710612239312
1,1,0.7812302181938034
2,1,0.7783893751636758
0,1,0.7840710612239312
0,1,0.7840710612239312
