mnth,cnt,Predicted Y
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
1,1,38.22619799217148
