atemp,holiday,Predicted Y
0.2879,0,0.034430724804368304
0.2727,0,0.03488867596261562
0.2727,0,0.03488867596261562
0.2879,0,0.034430724804368304
0.2879,0,0.034430724804368304
0.2576,0,0.03534361428429553
0.2727,0,0.03488867596261562
0.2576,0,0.03534361428429553
0.2879,0,0.034430724804368304
0.3485,0,0.032604945844513844
0.3939,0,0.031237118042906707
0.3333,0,0.03306289700276116
0.4242,0,0.030324228562979474
0.4545,0,0.029411339083052247
0.4545,0,0.029411339083052247
0.4394,0,0.02986627740473215
0.4242,0,0.030324228562979474
0.4394,0,0.02986627740473215
0.4242,0,0.030324228562979474
0.4242,0,0.030324228562979474
0.4091,0,0.03077916688465938
0.4091,0,0.03077916688465938
0.4091,0,0.03077916688465938
0.4545,0,0.029411339083052247
0.4545,0,0.029411339083052247
0.4394,0,0.02986627740473215
0.4242,0,0.030324228562979474
0.4545,0,0.029411339083052247
0.4545,0,0.029411339083052247
0.4242,0,0.030324228562979474
0.4091,0,0.03077916688465938
0.4091,0,0.03077916688465938
0.3939,0,0.031237118042906707
0.3485,0,0.032604945844513844
0.3333,0,0.03306289700276116
0.3333,0,0.03306289700276116
0.3485,0,0.032604945844513844
0.3485,0,0.032604945844513844
0.3333,0,0.03306289700276116
0.3333,0,0.03306289700276116
0.3333,0,0.03306289700276116
0.3333,0,0.03306289700276116
0.2879,0,0.034430724804368304
0.2727,0,0.03488867596261562
0.2273,0,0.03625650376422276
0.2121,0,0.03671445492247008
0.2273,0,0.03625650376422276
0.197,0,0.03716939324414999
0.1667,0,0.03808228272407722
0.1364,0,0.03899517220400445
0.1364,0,0.03899517220400445
0.1061,0,0.03990806168393168
0.1364,0,0.03899517220400445
0.1212,0,0.03945312336225177
0.1364,0,0.03899517220400445
0.1667,0,0.03808228272407722
0.1818,0,0.03762734440239731
0.2121,0,0.03671445492247008
0.2121,0,0.03671445492247008
0.2424,0,0.03580156544254285
0.2424,0,0.03580156544254285
0.2424,0,0.03580156544254285
