instant,windspeed,Predicted Y
1,0.0,-0.013410831721543035
2,0.0,-0.013387410333808199
3,0.0,-0.013363988946073362
4,0.0,-0.013340567558338526
5,0.0,-0.01331714617060369
6,0.0,-0.013293724782868853
7,0.0,-0.013270303395134016
8,0.0,-0.01324688200739918
9,0.0,-0.013223460619664344
10,0.0,-0.013200039231929507
11,0.0,-0.01317661784419467
12,0.0,-0.013153196456459834
13,0.0,-0.013129775068724998
14,0.0,-0.013106353680990161
15,0.0,-0.013082932293255325
16,0.0,-0.013059510905520488
17,0.0,-0.013036089517785652
18,0.0,-0.013012668130050815
19,0.0,-0.012989246742315979
20,0.0,-0.012965825354581142
21,0.0,-0.012942403966846308
22,0.0,-0.012918982579111471
23,0.0,-0.012895561191376635
24,0.0,-0.012872139803641798
25,0.0,-0.012848718415906962
26,0.0,-0.012825297028172125
27,0.0,-0.012801875640437289
28,0.0,-0.012778454252702453
29,0.0,-0.012755032864967616
30,0.0,-0.01273161147723278
31,0.0,-0.012708190089497943
32,0.0,-0.012684768701763107
33,0.0,-0.01266134731402827
34,0.0,-0.012637925926293434
35,0.0,-0.012614504538558597
36,0.0,-0.012591083150823761
37,0.0,-0.012567661763088924
38,0.0,-0.012544240375354088
39,0.0,-0.012520818987619252
40,0.0,-0.012497397599884415
41,0.0,-0.012473976212149579
42,0.0,-0.012450554824414742
43,0.0,-0.012427133436679906
44,0.0,-0.01240371204894507
45,0.0,-0.012380290661210233
46,0.0,-0.012356869273475396
47,0.0,-0.01233344788574056
48,0.0,-0.012310026498005723
49,0.0,-0.012286605110270887
50,0.0,-0.01226318372253605
51,0.0,-0.012239762334801214
52,0.0,-0.012216340947066378
53,0.0,-0.012192919559331541
54,0.0,-0.012169498171596705
55,0.0,-0.012146076783861868
56,0.0,-0.012122655396127032
57,0.0,-0.012099234008392197
58,0.0,-0.01207581262065736
59,0.0,-0.012052391232922524
60,0.0,-0.012028969845187688
61,0.0,-0.012005548457452851
62,0.0,-0.011982127069718015
63,0.0,-0.011958705681983178
64,0.0,-0.011935284294248342
65,0.0,-0.011911862906513505
66,0.0,-0.011888441518778669
67,0.0,-0.011865020131043832
68,0.0,-0.011841598743308996
69,0.0,-0.01181817735557416
70,0.0,-0.011794755967839323
71,0.0,-0.011771334580104487
72,0.0,-0.01174791319236965
73,0.0,-0.011724491804634814
74,0.0,-0.011701070416899977
75,0.0,-0.01167764902916514
76,0.0,-0.011654227641430304
77,0.0,-0.011630806253695468
78,0.0,-0.011607384865960631
79,0.0,-0.011583963478225795
80,0.0,-0.011560542090490959
81,0.0,-0.011537120702756122
82,0.0,-0.011513699315021286
83,0.0,-0.01149027792728645
84,0.0,-0.011466856539551613
85,0.0,-0.011443435151816776
86,0.0,-0.01142001376408194
87,0.0,-0.011396592376347103
88,0.0,-0.011373170988612267
89,0.0,-0.01134974960087743
90,0.0,-0.011326328213142594
91,0.0,-0.011302906825407757
92,0.0,-0.011279485437672921
93,0.0,-0.011256064049938085
94,0.0,-0.011232642662203248
95,0.0,-0.011209221274468412
96,0.0,-0.011185799886733575
97,0.0,-0.011162378498998739
98,0.0,-0.011138957111263902
99,0.0,-0.011115535723529066
100,0.0,-0.01109211433579423
101,0.0,-0.011068692948059393
102,0.0,-0.011045271560324556
103,0.0,-0.01102185017258972
104,0.0,-0.010998428784854885
105,0.0,-0.010975007397120049
106,0.0,-0.010951586009385212
107,0.0,-0.010928164621650376
108,0.0,-0.01090474323391554
109,0.0,-0.010881321846180703
110,0.0,-0.010857900458445867
111,0.0,-0.01083447907071103
112,0.0,-0.010811057682976194
113,0.0,-0.010787636295241357
114,0.0,-0.01076421490750652
115,0.0,-0.010740793519771684
116,0.0,-0.010717372132036848
117,0.0,-0.010693950744302011
118,0.0,-0.010670529356567175
119,0.0,-0.010647107968832338
120,0.0,-0.010623686581097502
121,0.0,-0.010600265193362665
122,0.0,-0.010576843805627829
123,0.0,-0.010553422417892993
124,0.0,-0.010530001030158156
125,0.0,-0.01050657964242332
126,0.0,-0.010483158254688483
127,0.0,-0.010459736866953647
128,0.0,-0.01043631547921881
129,0.0,-0.010412894091483974
130,0.0,-0.010389472703749137
131,0.0,-0.010366051316014301
132,0.0,-0.010342629928279464
133,0.0,-0.01031920854054463
134,0.0,-0.010295787152809793
135,0.0,-0.010272365765074957
136,0.0,-0.01024894437734012
137,0.0,-0.010225522989605284
138,0.0,-0.010202101601870447
139,0.0,-0.010178680214135611
140,0.0,-0.010155258826400775
141,0.0,-0.010131837438665938
142,0.0,-0.010108416050931102
143,0.0,-0.010084994663196265
144,0.0,-0.010061573275461429
145,0.0,-0.010038151887726592
146,0.0,-0.010014730499991756
147,0.0,-0.00999130911225692
148,0.0,-0.009967887724522083
149,0.0,-0.009944466336787246
150,0.0,-0.00992104494905241
151,0.0,-0.009897623561317574
152,0.0,-0.009874202173582737
153,0.0,-0.0098507807858479
154,0.0,-0.009827359398113064
155,0.0,-0.009803938010378228
156,0.0,-0.009780516622643391
157,0.0,-0.009757095234908555
158,0.0,-0.009733673847173718
159,0.0,-0.009710252459438882
160,0.0,-0.009686831071704045
161,0.0,-0.009663409683969209
162,0.0,-0.009639988296234372
163,0.0,-0.009616566908499536
164,0.0,-0.0095931455207647
165,0.0,-0.009569724133029863
166,0.0,-0.009546302745295027
167,0.0,-0.00952288135756019
168,0.0,-0.009499459969825354
169,0.0,-0.009476038582090517
170,0.0,-0.00945261719435568
171,0.0,-0.009429195806620844
172,0.0,-0.009405774418886008
173,0.0,-0.009382353031151171
174,0.0,-0.009358931643416335
175,0.0,-0.009335510255681499
176,0.0,-0.009312088867946662
177,0.0,-0.009288667480211826
178,0.0,-0.00926524609247699
179,0.0,-0.009241824704742153
180,0.0,-0.009218403317007316
181,0.0,-0.00919498192927248
182,0.0,-0.009171560541537643
183,0.0,-0.009148139153802807
184,0.0,-0.00912471776606797
185,0.0,-0.009101296378333134
186,0.0,-0.009077874990598297
187,0.0,-0.009054453602863461
188,0.0,-0.009031032215128626
189,0.0,-0.00900761082739379
190,0.0,-0.008984189439658953
191,0.0,-0.008960768051924117
192,0.0,-0.00893734666418928
193,0.0,-0.008913925276454444
194,0.0,-0.008890503888719608
195,0.0,-0.008867082500984771
196,0.0,-0.008843661113249935
197,0.0,-0.008820239725515098
198,0.0,-0.008796818337780262
199,0.0,-0.008773396950045425
200,0.0,-0.008749975562310589
201,0.0,-0.008726554174575752
202,0.0,-0.008703132786840916
203,0.0,-0.00867971139910608
204,0.0,-0.008656290011371243
205,0.0,-0.008632868623636407
206,0.0,-0.00860944723590157
207,0.0,-0.008586025848166735
208,0.0,-0.008562604460431899
209,0.0,-0.008539183072697062
210,0.0,-0.008515761684962226
211,0.0,-0.00849234029722739
212,0.0,-0.008468918909492553
213,0.0,-0.008445497521757717
214,0.0,-0.00842207613402288
215,0.0,-0.008398654746288044
216,0.0,-0.008375233358553207
217,0.0,-0.00835181197081837
218,0.0,-0.008328390583083534
219,0.0,-0.008304969195348698
220,0.0,-0.008281547807613861
221,0.0,-0.008258126419879025
222,0.0,-0.008234705032144189
223,0.0,-0.008211283644409352
224,0.0,-0.008187862256674516
225,0.0,-0.008164440868939679
226,0.0,-0.008141019481204843
227,0.0,-0.008117598093470006
228,0.0,-0.00809417670573517
229,0.0,-0.008070755318000333
230,0.0,-0.008047333930265497
231,0.0,-0.00802391254253066
232,0.0,-0.008000491154795824
233,0.0,-0.007977069767060987
234,0.0,-0.007953648379326151
235,0.0,-0.007930226991591315
236,0.0,-0.007906805603856478
237,0.0,-0.007883384216121642
238,0.0,-0.007859962828386805
239,0.0,-0.007836541440651969
240,0.0,-0.007813120052917132
241,0.0,-0.007789698665182296
242,0.0,-0.007766277277447459
243,0.0,-0.007742855889712623
244,0.0,-0.0077194345019777864
245,0.0,-0.00769601311424295
246,0.0,-0.0076725917265081135
247,0.0,-0.007649170338773278
248,0.0,-0.0076257489510384415
249,0.0,-0.007602327563303605
250,0.0,-0.0075789061755687686
251,0.0,-0.007555484787833932
252,0.0,-0.007532063400099096
253,0.0,-0.007508642012364259
254,0.0,-0.007485220624629423
255,0.0,-0.007461799236894586
256,0.0,-0.00743837784915975
257,0.0,-0.007414956461424913
258,0.0,-0.007391535073690077
259,0.0,-0.0073681136859552404
260,0.0,-0.007344692298220404
261,0.0,-0.0073212709104855675
262,0.0,-0.007297849522750731
263,0.0,-0.007274428135015895
264,0.0,-0.007251006747281058
265,0.0,-0.007227585359546222
266,0.0,-0.007204163971811386
267,0.0,-0.00718074258407655
268,0.0,-0.007157321196341713
269,0.0,-0.007133899808606877
270,0.0,-0.00711047842087204
271,0.0,-0.007087057033137204
272,0.0,-0.007063635645402367
273,0.0,-0.007040214257667531
274,0.0,-0.0070167928699326945
275,0.0,-0.006993371482197858
276,0.0,-0.0069699500944630215
277,0.0,-0.006946528706728185
278,0.0,-0.006923107318993349
279,0.0,-0.006899685931258512
280,0.0,-0.006876264543523676
281,0.0,-0.006852843155788839
282,0.0,-0.006829421768054003
283,0.0,-0.006806000380319166
284,0.0,-0.00678257899258433
