casual,cnt,Predicted Y
3,1,179.28793708265272
8,1,180.8449028275335
5,1,179.91072338060502
3,1,179.28793708265272
0,1,178.35375763572426
0,1,178.35375763572426
2,1,178.97654393367657
1,1,178.66515078470042
1,1,178.66515078470042
8,1,180.8449028275335
12,1,182.0904754234381
26,1,186.44997950910428
29,1,187.38415895603273
47,1,192.9892356376035
35,1,189.25251784988967
40,1,190.80948359477043
41,1,191.12087674374658
15,1,183.0246548703666
9,1,181.15629597650965
6,1,180.2221165295812
11,1,181.77908227446196
3,1,179.28793708265272
11,1,181.77908227446196
15,1,183.0246548703666
4,1,179.59933023162887
1,1,178.66515078470042
1,1,178.66515078470042
2,1,178.97654393367657
2,1,178.97654393367657
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
1,1,178.66515078470042
7,1,180.53350967855735
16,1,183.33604801934274
20,1,184.58162061524735
11,1,181.77908227446196
4,1,179.59933023162887
19,1,184.2702274662712
9,1,181.15629597650965
7,1,180.53350967855735
10,1,181.4676891254858
1,1,178.66515078470042
5,1,179.91072338060502
11,1,181.77908227446196
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
1,1,178.66515078470042
1,1,178.66515078470042
7,1,180.53350967855735
11,1,181.77908227446196
10,1,181.4676891254858
13,1,182.40186857241426
8,1,180.8449028275335
11,1,181.77908227446196
14,1,182.7132617213904
9,1,181.15629597650965
11,1,181.77908227446196
9,1,181.15629597650965
8,1,180.8449028275335
3,1,179.28793708265272
3,1,179.28793708265272
0,1,178.35375763572426
1,1,178.66515078470042
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
2,1,178.97654393367657
2,1,178.97654393367657
2,1,178.97654393367657
5,1,179.91072338060502
7,1,180.53350967855735
12,1,182.0904754234381
18,1,183.95883431729504
9,1,181.15629597650965
17,1,183.6474411683189
15,1,183.0246548703666
10,1,181.4676891254858
3,1,179.28793708265272
2,1,178.97654393367657
1,1,178.66515078470042
0,1,178.35375763572426
1,1,178.66515078470042
2,1,178.97654393367657
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
0,1,178.35375763572426
