cnt,weathersit,Predicted Y
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,2,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,3,1.4148511929550247
1,3,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,3,1.4148511929550247
1,2,1.4148511929550247
1,3,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,2,1.4148511929550247
1,3,1.4148511929550247
1,3,1.4148511929550247
1,3,1.4148511929550247
1,1,1.4148511929550247
1,2,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,2,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
1,1,1.4148511929550247
