hum,workingday,Predicted Y
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.0,0,0.6839715831917061
0.08,0,0.6838120167506453
0.1,0,0.68377212514038
0.12,0,0.6837322335301148
0.13,0,0.6837122877249822
0.14,0,0.6836923419198495
0.14,0,0.6836923419198495
0.15,0,0.683672396114717
0.15,0,0.683672396114717
0.15,0,0.683672396114717
0.15,0,0.683672396114717
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.16,0,0.6836524503095843
0.17,0,0.6836325045044517
0.17,0,0.6836325045044517
0.17,0,0.6836325045044517
0.17,0,0.6836325045044517
0.17,0,0.6836325045044517
0.17,1,0.6836325045044517
0.17,1,0.6836325045044517
0.17,1,0.6836325045044517
0.17,1,0.6836325045044517
0.17,1,0.6836325045044517
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.18,1,0.6836125586993191
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.19,1,0.6835926128941865
0.2,1,0.6835726670890538
0.2,1,0.6835726670890538
0.2,1,0.6835726670890538
0.2,1,0.6835726670890538
