holiday,casual,Predicted Y
0,3,35.40837727353516
0,8,35.40837727353516
0,5,35.40837727353516
0,3,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,2,35.40837727353516
0,1,35.40837727353516
0,1,35.40837727353516
0,8,35.40837727353516
0,12,35.40837727353516
0,26,35.40837727353516
0,29,35.40837727353516
0,47,35.40837727353516
0,35,35.40837727353516
0,40,35.40837727353516
0,41,35.40837727353516
0,15,35.40837727353516
0,9,35.40837727353516
0,6,35.40837727353516
0,11,35.40837727353516
0,3,35.40837727353516
0,11,35.40837727353516
0,15,35.40837727353516
0,4,35.40837727353516
0,1,35.40837727353516
0,1,35.40837727353516
0,2,35.40837727353516
0,2,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,1,35.40837727353516
0,7,35.40837727353516
0,16,35.40837727353516
0,20,35.40837727353516
0,11,35.40837727353516
0,4,35.40837727353516
0,19,35.40837727353516
0,9,35.40837727353516
0,7,35.40837727353516
0,10,35.40837727353516
0,1,35.40837727353516
0,5,35.40837727353516
0,11,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,1,35.40837727353516
0,1,35.40837727353516
0,7,35.40837727353516
0,11,35.40837727353516
0,10,35.40837727353516
0,13,35.40837727353516
0,8,35.40837727353516
0,11,35.40837727353516
0,14,35.40837727353516
0,9,35.40837727353516
0,11,35.40837727353516
0,9,35.40837727353516
0,8,35.40837727353516
0,3,35.40837727353516
0,3,35.40837727353516
0,0,35.40837727353516
0,1,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,2,35.40837727353516
0,2,35.40837727353516
0,2,35.40837727353516
0,5,35.40837727353516
0,7,35.40837727353516
0,12,35.40837727353516
0,18,35.40837727353516
0,9,35.40837727353516
0,17,35.40837727353516
0,15,35.40837727353516
0,10,35.40837727353516
0,3,35.40837727353516
0,2,35.40837727353516
0,1,35.40837727353516
0,0,35.40837727353516
0,1,35.40837727353516
0,2,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
0,1,35.40837727353516
0,3,35.40837727353516
0,6,35.40837727353516
0,4,35.40837727353516
0,12,35.40837727353516
0,5,35.40837727353516
0,6,35.40837727353516
0,10,35.40837727353516
0,7,35.40837727353516
0,4,35.40837727353516
0,4,35.40837727353516
0,3,35.40837727353516
0,5,35.40837727353516
0,7,35.40837727353516
0,3,35.40837727353516
0,1,35.40837727353516
0,1,35.40837727353516
0,0,35.40837727353516
0,0,35.40837727353516
