windspeed,weathersit,Predicted Y
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,2,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,3,1.4249539922962084
0.0,3,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,3,1.4249539922962084
0.0,2,1.4249539922962084
0.0,3,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,2,1.4249539922962084
0.0,3,1.4249539922962084
0.0,3,1.4249539922962084
0.0,3,1.4249539922962084
0.0,1,1.4249539922962084
0.0,2,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
0.0,1,1.4249539922962084
