casual,yr,Predicted Y
3,0,0.455247585679315
8,0,0.46248725082405673
5,0,0.4581434517372117
3,0,0.455247585679315
0,0,0.45090378659247
0,0,0.45090378659247
2,0,0.45379965265036665
1,0,0.45235171962141835
1,0,0.45235171962141835
8,0,0.46248725082405673
12,0,0.4682789829398501
26,0,0.48855004534512686
29,0,0.4928938444319719
47,0,0.518956638953042
35,0,0.501581442605662
40,0,0.5088211077504037
41,0,0.510269040779352
15,0,0.4726227820266951
9,0,0.4639351838530051
6,0,0.45959138476616
11,0,0.46683104991090174
3,0,0.455247585679315
11,0,0.46683104991090174
15,0,0.4726227820266951
4,0,0.45669551870826336
1,0,0.45235171962141835
1,0,0.45235171962141835
2,0,0.45379965265036665
2,0,0.45379965265036665
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
1,0,0.45235171962141835
7,0,0.46103931779510837
16,0,0.47407071505564347
20,0,0.47986244717143683
11,0,0.46683104991090174
4,0,0.45669551870826336
19,0,0.4784145141424885
9,0,0.4639351838530051
7,0,0.46103931779510837
10,0,0.4653831168819534
1,0,0.45235171962141835
5,0,0.4581434517372117
11,0,0.46683104991090174
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
1,0,0.45235171962141835
1,0,0.45235171962141835
7,0,0.46103931779510837
11,0,0.46683104991090174
10,0,0.4653831168819534
13,0,0.46972691596879845
8,0,0.46248725082405673
11,0,0.46683104991090174
14,0,0.47117484899774675
9,0,0.4639351838530051
11,0,0.46683104991090174
9,0,0.4639351838530051
8,0,0.46248725082405673
3,0,0.455247585679315
3,0,0.455247585679315
0,0,0.45090378659247
1,0,0.45235171962141835
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
0,0,0.45090378659247
2,0,0.45379965265036665
2,0,0.45379965265036665
2,0,0.45379965265036665
5,0,0.4581434517372117
7,0,0.46103931779510837
