weekday,instant,Predicted Y
6,1,8700.168930545504
6,2,8700.168930545504
6,3,8700.168930545504
6,4,8700.168930545504
6,5,8700.168930545504
6,6,8700.168930545504
6,7,8700.168930545504
6,8,8700.168930545504
6,9,8700.168930545504
6,10,8700.168930545504
6,11,8700.168930545504
6,12,8700.168930545504
6,13,8700.168930545504
6,14,8700.168930545504
6,15,8700.168930545504
6,16,8700.168930545504
6,17,8700.168930545504
6,18,8700.168930545504
6,19,8700.168930545504
6,20,8700.168930545504
6,21,8700.168930545504
6,22,8700.168930545504
6,23,8700.168930545504
6,24,8700.168930545504
0,25,8679.806073331556
0,26,8679.806073331556
0,27,8679.806073331556
0,28,8679.806073331556
0,29,8679.806073331556
0,30,8679.806073331556
0,31,8679.806073331556
0,32,8679.806073331556
0,33,8679.806073331556
0,34,8679.806073331556
0,35,8679.806073331556
0,36,8679.806073331556
0,37,8679.806073331556
0,38,8679.806073331556
0,39,8679.806073331556
0,40,8679.806073331556
0,41,8679.806073331556
0,42,8679.806073331556
0,43,8679.806073331556
0,44,8679.806073331556
0,45,8679.806073331556
0,46,8679.806073331556
0,47,8679.806073331556
1,48,8683.199882867215
1,49,8683.199882867215
1,50,8683.199882867215
1,51,8683.199882867215
1,52,8683.199882867215
1,53,8683.199882867215
1,54,8683.199882867215
1,55,8683.199882867215
1,56,8683.199882867215
1,57,8683.199882867215
1,58,8683.199882867215
1,59,8683.199882867215
1,60,8683.199882867215
1,61,8683.199882867215
1,62,8683.199882867215
1,63,8683.199882867215
1,64,8683.199882867215
1,65,8683.199882867215
1,66,8683.199882867215
1,67,8683.199882867215
1,68,8683.199882867215
1,69,8683.199882867215
2,70,8686.593692402872
2,71,8686.593692402872
2,72,8686.593692402872
2,73,8686.593692402872
2,74,8686.593692402872
2,75,8686.593692402872
2,76,8686.593692402872
2,77,8686.593692402872
2,78,8686.593692402872
2,79,8686.593692402872
2,80,8686.593692402872
2,81,8686.593692402872
2,82,8686.593692402872
2,83,8686.593692402872
2,84,8686.593692402872
2,85,8686.593692402872
2,86,8686.593692402872
2,87,8686.593692402872
2,88,8686.593692402872
2,89,8686.593692402872
2,90,8686.593692402872
2,91,8686.593692402872
2,92,8686.593692402872
3,93,8689.98750193853
3,94,8689.98750193853
3,95,8689.98750193853
3,96,8689.98750193853
3,97,8689.98750193853
