instant,weathersit,Predicted Y
1,1,1.4410044369913002
2,1,1.4410026276865477
3,1,1.4410008183817953
4,1,1.4409990090770428
5,1,1.4409971997722903
6,2,1.4409953904675379
7,1,1.4409935811627854
8,1,1.4409917718580327
9,1,1.4409899625532803
10,1,1.4409881532485278
11,1,1.4409863439437753
12,1,1.4409845346390229
13,1,1.4409827253342704
14,2,1.440980916029518
15,2,1.4409791067247655
16,2,1.440977297420013
17,2,1.4409754881152605
18,2,1.440973678810508
19,3,1.4409718695057556
20,3,1.4409700602010032
21,2,1.4409682508962507
22,2,1.4409664415914982
23,2,1.4409646322867455
24,2,1.440962822981993
25,2,1.4409610136772406
26,2,1.4409592043724881
27,2,1.4409573950677357
28,2,1.4409555857629832
29,2,1.4409537764582308
30,3,1.4409519671534783
31,2,1.4409501578487258
32,3,1.4409483485439734
33,2,1.440946539239221
34,2,1.4409447299344684
35,2,1.440942920629716
36,2,1.4409411113249635
37,2,1.440939302020211
38,3,1.4409374927154586
39,3,1.4409356834107059
40,3,1.4409338741059534
41,1,1.440932064801201
42,2,1.4409302554964485
43,1,1.440928446191696
44,1,1.4409266368869436
45,1,1.440924827582191
46,1,1.4409230182774386
47,1,1.4409212089726862
48,1,1.4409193996679337
49,1,1.4409175903631812
50,1,1.4409157810584288
51,1,1.4409139717536763
52,1,1.4409121624489238
53,1,1.4409103531441714
54,1,1.4409085438394187
55,1,1.4409067345346662
56,1,1.4409049252299138
57,1,1.4409031159251613
58,1,1.4409013066204088
59,1,1.4408994973156564
60,1,1.440897688010904
61,1,1.4408958787061514
62,1,1.440894069401399
63,1,1.4408922600966465
64,1,1.440890450791894
65,1,1.4408886414871416
66,1,1.440886832182389
67,1,1.4408850228776366
68,1,1.4408832135728842
69,1,1.4408814042681315
70,1,1.440879594963379
71,1,1.4408777856586266
72,1,1.440875976353874
73,1,1.4408741670491216
74,1,1.4408723577443692
75,1,1.4408705484396167
76,1,1.4408687391348642
77,1,1.4408669298301118
78,1,1.4408651205253593
79,2,1.4408633112206068
80,1,1.4408615019158544
81,1,1.440859692611102
82,1,1.4408578833063495
83,1,1.440856074001597
84,1,1.4408542646968445
85,1,1.4408524553920918
86,1,1.4408506460873394
87,1,1.440848836782587
88,1,1.4408470274778344
89,1,1.440845218173082
90,1,1.4408434088683295
91,1,1.440841599563577
92,1,1.4408397902588246
93,1,1.4408379809540721
94,1,1.4408361716493197
95,1,1.4408343623445672
96,1,1.4408325530398147
97,1,1.4408307437350623
98,1,1.4408289344303098
99,1,1.4408271251255573
100,1,1.4408253158208046
101,1,1.4408235065160522
102,1,1.4408216972112997
103,1,1.4408198879065472
104,1,1.4408180786017948
105,1,1.4408162692970423
106,1,1.4408144599922899
107,1,1.4408126506875374
108,1,1.440810841382785
109,1,1.4408090320780325
110,1,1.44080722277328
111,1,1.4408054134685275
112,1,1.440803604163775
113,1,1.4408017948590226
114,1,1.4407999855542701
115,1,1.4407981762495174
116,1,1.440796366944765
117,1,1.4407945576400125
118,1,1.44079274833526
119,2,1.4407909390305076
120,2,1.4407891297257551
121,2,1.4407873204210027
122,2,1.4407855111162502
123,1,1.4407837018114977
124,2,1.4407818925067453
125,1,1.4407800832019928
126,1,1.4407782738972403
127,1,1.4407764645924879
128,1,1.4407746552877354
129,1,1.440772845982983
130,1,1.4407710366782305
131,1,1.4407692273734778
132,1,1.4407674180687253
133,1,1.4407656087639729
134,1,1.4407637994592204
135,1,1.440761990154468
136,2,1.4407601808497155
137,2,1.440758371544963
138,2,1.4407565622402105
139,2,1.440754752935458
140,2,1.4407529436307056
141,2,1.4407511343259531
142,2,1.4407493250212007
143,3,1.4407475157164482
144,2,1.4407457064116957
145,1,1.4407438971069433
146,1,1.4407420878021906
147,1,1.4407402784974381
148,1,1.4407384691926857
149,2,1.4407366598879332
150,2,1.4407348505831807
151,2,1.4407330412784283
152,2,1.4407312319736758
153,2,1.4407294226689233
154,2,1.4407276133641709
155,2,1.4407258040594184
156,1,1.440723994754666
157,1,1.4407221854499135
158,1,1.440720376145161
159,1,1.4407185668404086
160,2,1.440716757535656
161,2,1.4407149482309034
162,2,1.440713138926151
163,2,1.4407113296213985
164,2,1.440709520316646
165,3,1.4407077110118935
166,3,1.440705901707141
167,2,1.4407040924023886
168,2,1.4407022830976361
169,2,1.4407004737928837
170,3,1.4406986644881312
171,3,1.4406968551833788
172,2,1.4406950458786263
173,2,1.4406932365738738
174,2,1.4406914272691214
175,1,1.440689617964369
176,1,1.4406878086596164
177,1,1.4406859993548637
178,1,1.4406841900501113
179,1,1.4406823807453588
180,1,1.4406805714406064
181,1,1.4406787621358539
182,1,1.4406769528311014
183,1,1.440675143526349
184,1,1.4406733342215965
185,1,1.440671524916844
186,1,1.4406697156120916
187,1,1.440667906307339
188,1,1.4406660970025866
189,1,1.4406642876978342
