temp,windspeed,Predicted Y
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.24,0.0,0.1755308447558854
0.32,0.0,0.18006547164485578
0.38,0.0,0.18346644181158356
0.36,0.0,0.18233278508934098
0.42,0.0,0.18573375525606875
0.46,0.0,0.18800106870055394
0.46,0.0,0.18800106870055394
0.44,0.0,0.18686741197831136
0.42,0.0,0.18573375525606875
0.44,0.0,0.18686741197831136
0.42,0.0,0.18573375525606875
0.42,0.0,0.18573375525606875
0.4,0.0,0.18460009853382617
0.4,0.0,0.18460009853382617
0.4,0.0,0.18460009853382617
0.46,0.0,0.18800106870055394
0.46,0.0,0.18800106870055394
0.44,0.0,0.18686741197831136
0.42,0.0,0.18573375525606875
0.46,0.0,0.18800106870055394
0.46,0.0,0.18800106870055394
0.42,0.0,0.18573375525606875
0.4,0.0,0.18460009853382617
0.4,0.0,0.18460009853382617
0.38,0.0,0.18346644181158356
0.36,0.0,0.18233278508934098
0.36,0.0,0.18233278508934098
0.36,0.0,0.18233278508934098
0.36,0.0,0.18233278508934098
0.36,0.0,0.18233278508934098
0.34,0.0,0.1811991283670984
0.34,0.0,0.1811991283670984
0.34,0.0,0.1811991283670984
0.36,0.0,0.18233278508934098
0.32,0.0,0.18006547164485578
0.3,0.0,0.1789318149226132
0.26,0.0,0.176664501478128
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.14,0.0,0.16986256114467244
0.14,0.0,0.16986256114467244
0.14,0.0,0.16986256114467244
0.16,0.0,0.17099621786691505
0.18,0.0,0.17212987458915763
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.24,0.0,0.1755308447558854
0.26,0.0,0.176664501478128
0.26,0.0,0.176664501478128
0.26,0.0,0.176664501478128
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.18,0.0,0.17212987458915763
0.14,0.0,0.16986256114467244
0.18,0.0,0.17212987458915763
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.14,0.0,0.16986256114467244
0.14,0.0,0.16986256114467244
0.12,0.0,0.16872890442242985
0.12,0.0,0.16872890442242985
0.12,0.0,0.16872890442242985
0.14,0.0,0.16986256114467244
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.24,0.0,0.1755308447558854
0.26,0.0,0.176664501478128
0.28,0.0,0.1777981582003706
0.3,0.0,0.1789318149226132
0.28,0.0,0.1777981582003706
0.26,0.0,0.176664501478128
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.18,0.0,0.17212987458915763
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.26,0.0,0.176664501478128
0.26,0.0,0.176664501478128
0.28,0.0,0.1777981582003706
0.3,0.0,0.1789318149226132
0.3,0.0,0.1789318149226132
0.3,0.0,0.1789318149226132
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.24,0.0,0.1755308447558854
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.18,0.0,0.17212987458915763
0.2,0.0,0.1732635313114002
0.18,0.0,0.17212987458915763
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.14,0.0,0.16986256114467244
0.14,0.0,0.16986256114467244
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.18,0.0,0.17212987458915763
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.26,0.0,0.176664501478128
0.26,0.0,0.176664501478128
0.28,0.0,0.1777981582003706
0.28,0.0,0.1777981582003706
0.26,0.0,0.176664501478128
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.22,0.0,0.17439718803364282
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.2,0.0,0.1732635313114002
0.16,0.0,0.17099621786691505
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.18,0.0,0.17212987458915763
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.16,0.0,0.17099621786691505
0.18,0.0,0.17212987458915763
0.2,0.0,0.1732635313114002
