instant,hum,Predicted Y
1,0.0,0.2948661243537657
2,0.0,0.29490437532799174
3,0.0,0.2949426263022178
4,0.0,0.29498087727644384
5,0.0,0.2950191282506699
6,0.0,0.29505737922489594
7,0.0,0.29509563019912194
8,0.0,0.295133881173348
9,0.0,0.29517213214757404
10,0.0,0.2952103831218001
11,0.0,0.29524863409602614
12,0.0,0.2952868850702522
13,0.0,0.29532513604447824
14,0.0,0.2953633870187043
15,0.0,0.29540163799293034
16,0.0,0.2954398889671564
17,0.0,0.29547813994138244
18,0.0,0.2955163909156085
19,0.0,0.29555464188983455
20,0.0,0.29559289286406054
21,0.0,0.2956311438382866
22,0.0,0.29566939481251264
23,0.08,0.2957076457867387
24,0.1,0.29574589676096474
25,0.12,0.2957841477351908
26,0.13,0.29582239870941685
27,0.14,0.2958606496836429
28,0.14,0.29589890065786895
29,0.15,0.295937151632095
30,0.15,0.29597540260632105
31,0.15,0.2960136535805471
32,0.15,0.2960519045547731
33,0.16,0.29609015552899914
34,0.16,0.2961284065032252
35,0.16,0.29616665747745125
36,0.16,0.2962049084516773
37,0.16,0.29624315942590335
38,0.16,0.2962814104001294
39,0.16,0.29631966137435545
40,0.16,0.2963579123485815
41,0.16,0.29639616332280755
42,0.16,0.2964344142970336
43,0.17,0.29647266527125965
44,0.17,0.2965109162454857
45,0.17,0.2965491672197117
46,0.17,0.29658741819393775
47,0.17,0.2966256691681638
48,0.17,0.29666392014238985
49,0.17,0.2967021711166159
50,0.17,0.29674042209084195
51,0.17,0.296778673065068
52,0.17,0.29681692403929405
53,0.18,0.2968551750135201
54,0.18,0.29689342598774615
55,0.18,0.2969316769619722
56,0.18,0.29696992793619825
57,0.18,0.2970081789104243
58,0.18,0.2970464298846503
59,0.18,0.29708468085887635
60,0.18,0.2971229318331024
61,0.18,0.29716118280732845
62,0.18,0.2971994337815545
63,0.19,0.29723768475578055
64,0.19,0.2972759357300066
65,0.19,0.29731418670423265
66,0.19,0.2973524376784587
67,0.19,0.29739068865268475
68,0.19,0.2974289396269108
69,0.19,0.29746719060113685
70,0.19,0.2975054415753629
71,0.19,0.2975436925495889
72,0.19,0.29758194352381495
73,0.19,0.297620194498041
74,0.19,0.29765844547226705
75,0.19,0.2976966964464931
76,0.19,0.29773494742071915
77,0.19,0.2977731983949452
78,0.19,0.29781144936917125
79,0.2,0.2978497003433973
80,0.2,0.29788795131762336
81,0.2,0.2979262022918494
82,0.2,0.29796445326607546
83,0.2,0.29800270424030145
84,0.2,0.2980409552145275
85,0.2,0.29807920618875355
86,0.2,0.2981174571629796
87,0.2,0.29815570813720566
88,0.2,0.2981939591114317
89,0.2,0.29823221008565776
90,0.2,0.2982704610598838
91,0.2,0.29830871203410986
92,0.2,0.2983469630083359
93,0.2,0.29838521398256196
94,0.2,0.298423464956788
95,0.2,0.29846171593101406
96,0.21,0.29849996690524006
97,0.21,0.2985382178794661
98,0.21,0.29857646885369216
99,0.21,0.2986147198279182
100,0.21,0.29865297080214426
101,0.21,0.2986912217763703
102,0.21,0.29872947275059636
103,0.21,0.2987677237248224
104,0.21,0.29880597469904846
105,0.21,0.2988442256732745
106,0.21,0.29888247664750056
107,0.21,0.2989207276217266
108,0.21,0.29895897859595266
109,0.21,0.29899722957017866
110,0.21,0.2990354805444047
111,0.21,0.29907373151863076
112,0.21,0.2991119824928568
113,0.21,0.29915023346708286
114,0.21,0.2991884844413089
115,0.21,0.29922673541553496
116,0.21,0.299264986389761
117,0.21,0.29930323736398706
118,0.21,0.2993414883382131
119,0.21,0.29937973931243916
120,0.21,0.2994179902866652
121,0.21,0.2994562412608912
122,0.22,0.29949449223511726
123,0.22,0.2995327432093433
124,0.22,0.29957099418356936
125,0.22,0.2996092451577954
126,0.22,0.29964749613202146
127,0.22,0.2996857471062475
128,0.22,0.29972399808047356
129,0.22,0.2997622490546996
130,0.22,0.29980050002892566
131,0.22,0.2998387510031517
132,0.22,0.29987700197737777
133,0.22,0.2999152529516038
134,0.22,0.2999535039258298
135,0.22,0.29999175490005586
136,0.22,0.3000300058742819
137,0.22,0.30006825684850796
138,0.22,0.300106507822734
139,0.22,0.30014475879696006
140,0.22,0.3001830097711861
141,0.22,0.30022126074541217
142,0.22,0.3002595117196382
143,0.22,0.30029776269386427
144,0.22,0.3003360136680903
145,0.22,0.30037426464231637
146,0.22,0.3004125156165424
147,0.22,0.3004507665907684
148,0.22,0.30048901756499447
149,0.23,0.3005272685392205
150,0.23,0.30056551951344657
151,0.23,0.3006037704876726
152,0.23,0.30064202146189867
153,0.23,0.3006802724361247
