atemp,hum,Predicted Y
0.2879,0.0,0.594378520799801
0.2727,0.0,0.5917207719171211
0.2727,0.0,0.5917207719171211
0.2879,0.0,0.594378520799801
0.2879,0.0,0.594378520799801
0.2576,0.0,0.5890805082244589
0.2727,0.0,0.5917207719171211
0.2576,0.0,0.5890805082244589
0.2879,0.0,0.594378520799801
0.3485,0.0,0.6049745459504854
0.3939,0.0,0.6129128222184899
0.3333,0.0,0.6023167970678055
0.4242,0.0,0.618210834793832
0.4545,0.0,0.6235088473691741
0.4545,0.0,0.6235088473691741
0.4394,0.0,0.6208685836765119
0.4242,0.0,0.618210834793832
0.4394,0.0,0.6208685836765119
0.4242,0.0,0.618210834793832
0.4242,0.0,0.618210834793832
0.4091,0.0,0.6155705711011698
0.4091,0.0,0.6155705711011698
0.4091,0.08,0.6155705711011698
0.4545,0.1,0.6235088473691741
0.4545,0.12,0.6235088473691741
0.4394,0.13,0.6208685836765119
0.4242,0.14,0.618210834793832
0.4545,0.14,0.6235088473691741
0.4545,0.15,0.6235088473691741
0.4242,0.15,0.618210834793832
0.4091,0.15,0.6155705711011698
0.4091,0.15,0.6155705711011698
0.3939,0.16,0.6129128222184899
0.3485,0.16,0.6049745459504854
0.3333,0.16,0.6023167970678055
0.3333,0.16,0.6023167970678055
0.3485,0.16,0.6049745459504854
0.3485,0.16,0.6049745459504854
0.3333,0.16,0.6023167970678055
0.3333,0.16,0.6023167970678055
0.3333,0.16,0.6023167970678055
0.3333,0.16,0.6023167970678055
0.2879,0.17,0.594378520799801
0.2727,0.17,0.5917207719171211
0.2273,0.17,0.5837824956491168
0.2121,0.17,0.5811247467664369
0.2273,0.17,0.5837824956491168
0.197,0.17,0.5784844830737746
0.1667,0.17,0.5731864704984324
0.1364,0.17,0.5678884579230903
0.1364,0.17,0.5678884579230903
0.1061,0.17,0.5625904453477482
0.1364,0.18,0.5678884579230903
0.1212,0.18,0.5652307090404104
0.1364,0.18,0.5678884579230903
0.1667,0.18,0.5731864704984324
0.1818,0.18,0.5758267341910948
0.2121,0.18,0.5811247467664369
0.2121,0.18,0.5811247467664369
0.2424,0.18,0.586422759341779
0.2424,0.18,0.586422759341779
0.2424,0.18,0.586422759341779
0.2273,0.19,0.5837824956491168
0.2576,0.19,0.5890805082244589
0.2576,0.19,0.5890805082244589
0.2273,0.19,0.5837824956491168
0.197,0.19,0.5784844830737746
0.1515,0.19,0.5705287216157525
0.2121,0.19,0.5811247467664369
0.1818,0.19,0.5758267341910948
0.1818,0.19,0.5758267341910948
0.1515,0.19,0.5705287216157525
0.1818,0.19,0.5758267341910948
0.1515,0.19,0.5705287216157525
0.1515,0.19,0.5705287216157525
0.1515,0.19,0.5705287216157525
0.1515,0.19,0.5705287216157525
0.1515,0.19,0.5705287216157525
0.1364,0.2,0.5678884579230903
0.2121,0.2,0.5811247467664369
0.2273,0.2,0.5837824956491168
0.2273,0.2,0.5837824956491168
0.2576,0.2,0.5890805082244589
0.2727,0.2,0.5917207719171211
0.2879,0.2,0.594378520799801
0.2727,0.2,0.5917207719171211
0.2576,0.2,0.5890805082244589
0.2576,0.2,0.5890805082244589
0.2576,0.2,0.5890805082244589
0.2727,0.2,0.5917207719171211
0.2576,0.2,0.5890805082244589
0.2273,0.2,0.5837824956491168
0.2576,0.2,0.5890805082244589
0.197,0.2,0.5784844830737746
0.197,0.2,0.5784844830737746
0.2273,0.21,0.5837824956491168
0.2273,0.21,0.5837824956491168
0.197,0.21,0.5784844830737746
0.1818,0.21,0.5758267341910948
0.1818,0.21,0.5758267341910948
0.197,0.21,0.5784844830737746
0.197,0.21,0.5784844830737746
0.2273,0.21,0.5837824956491168
0.2273,0.21,0.5837824956491168
0.2576,0.21,0.5890805082244589
0.2879,0.21,0.594378520799801
0.2879,0.21,0.594378520799801
0.3182,0.21,0.5996765333751433
0.2273,0.21,0.5837824956491168
0.2424,0.21,0.586422759341779
0.2576,0.21,0.5890805082244589
0.2273,0.21,0.5837824956491168
0.197,0.21,0.5784844830737746
0.197,0.21,0.5784844830737746
0.2576,0.21,0.5890805082244589
0.2424,0.21,0.586422759341779
0.2273,0.21,0.5837824956491168
0.2273,0.21,0.5837824956491168
0.197,0.21,0.5784844830737746
0.1818,0.21,0.5758267341910948
0.1667,0.21,0.5731864704984324
0.2273,0.22,0.5837824956491168
0.2273,0.22,0.5837824956491168
0.2424,0.22,0.586422759341779
0.2576,0.22,0.5890805082244589
0.2576,0.22,0.5890805082244589
0.2879,0.22,0.594378520799801
0.2727,0.22,0.5917207719171211
0.2727,0.22,0.5917207719171211
0.2727,0.22,0.5917207719171211
0.2576,0.22,0.5890805082244589
0.2273,0.22,0.5837824956491168
0.2273,0.22,0.5837824956491168
0.2576,0.22,0.5890805082244589
0.2121,0.22,0.5811247467664369
